full_name,city,country,counts,avg_Retweet,avg_Replies,avg_Like,avg_Quotes,index
"Changwon-si, Republic of Korea",Changwon-si,Republic of Korea,8,0,0,0.375,0,1
"Manhattan, NY","Manhattan, NY",USA,8,0,0,0,0,2
Kazakhstan,Kazakhstan,Dubai,4,0,0,0,0,3
"Potsdam, Germany",Potsdam,Germany,3,0,0,0,0,4
"Duque de Caxias, Brasil",Duque de Caxias,Brasil,3,0,0,0,0,5
"Saraikela Kharsawan, India",Saraikela Kharsawan,India,3,0,0,0.333333333,0,6
"Quito, Ecuador",Quito,Ecuador,2,0,0,0,0,7
"Kuta, Indonesia",Kuta,Indonesia,2,0,0,0,0,8
"Florianópolis, Brazil",Florianópolis,Brazil,2,0,0,0,0,9
"Bogotá, D.C., Colombia","Bogotá, D.C.",Colombia,2,0,0,0,0,10
"Detroit, MI","Detroit, MI",USA,2,0,0,0,0,11
Ukraine,,Ukraine,2,0,0,0,0,12
"Kortrijk, België",,Belgium ,2,0,0,0,0,13
"Meknes, Morocco",Meknes,Morocco,2,0,0,0,0,14
Uzbekistan,,Uzbekistan,2,0,0,0,0,15
"Jesolo, Veneto","Jesolo, Veneto",Italy,2,0,0,0,0,16
"Makati City, National Capital Region","Makati City, National Capital Region",Philippines,2,0,0,0,0,17
"Nova Iguaçu, Brasil",Nova Iguaçu,Brasil,1,0,0,0,0,18
"Jersey City, NJ","Jersey City, NJ",USA,1,0,0,0,0,19
"Rostov-na-Donu, Russia",Rostov-na-Donu,Russia,1,0,0,0,0,20
"Americana, Brasil",Americana,Brasil,1,0,0,0,0,21
"Bang Khen, Thailand",Bang Khen,Thailand,1,0,0,0,0,22
Brick Live Café by BTS,,,1,0,0,0,0,23
"Ivry-sur-Seine, France",Ivry-sur-Seine,France,1,0,1,0,0,24
"Chom Phon, Thailand",Chom Phon,Thailand,1,0,0,0,0,25
"Cimanggis, Indonesia",Cimanggis,Indonesia,1,0,0,0,0,26
"Sapporo-shi Toyohira-ku, Hokkaidō","Sapporo-shi Toyohira-ku, Hokkaidō",Japan,1,0,0,0,0,27
