full_name,city,country,counts,avg_Retweet,avg_Replies,avg_Like,avg_Quotes,index
Botswana,,Botswana,30,0.2,0,0.2,0,1
"Montevideo, Uruguay",Montevideo,Uruguay,20,0,0,0,0,2
"San José, Costa Rica",San José,Costa Rica,20,0,0,0,0,3
Georgia,,Georgia,19,0,0,0,0,4
"Kalideres, Indonesia",Kalideres,Indonesia,12,0,0,0,0,5
"Santa Maria, Ilocos Region","Santa Maria, Ilocos Region",Philippines,7,0,0,0,0,6
"Bengaluru South, India",Bengaluru South,India,7,0,0,0,0,7
"Lemahabang, Indonesia",Lemahabang,Indonesia,7,0,0,0,0,8
"????????? ?????, ??????",Noginsk District,Russia,7,0,0,0,0,9
"Mungyeong-si, Republic of Korea",Mungyeong-si,Republic of Korea,7,0,0,0,0,10
Myanmar,,Myanmar,7,0,0,0,0,11
"Kasaoka-shi, Okayama","Kasaoka-shi, Okayama",Japan,7,0,0,0,0,12
"Rivers, Nigeria",Rivers,Nigeria,7,0,0,0,0,13
"??????, ???????? ???????","Shchekino, Tula region",Russia,7,0,0,0,0,14
"Pajangan, Indonesia",Pajangan,Indonesia,7,0,0,0,0,15
????? ????? BTS Bus Stop,????? ????? BTS Bus Stop,South Korea,7,0,0,0,0,16
"Carapicuíba, Brasil",Carapicuíba,Brasil,7,0,0,0,0,17
"?????????? ?????, ??????",Nytvensky district,Russia,7,0,0,0,0,18
"Cilandak, Indonesia",Cilandak,Indonesia,7,0,0,0,0,19
"Massachusetts, USA",Massachusetts,USA,7,0,0,0,0,20
"Grajaú, Brasil",Grajaú,Brasil,7,0,0,0,0,21
"Seongdong-gu, Republic of Korea",Seongdong-gu,Republic of Korea,7,0,0,0,0,22
?????,?????,Japan,7,0,0,0,0,23
"Dobong-gu, Republic of Korea",Dobong-gu,Republic of Korea,6,0,0,0,0,24
"Chom Phon, Thailand",Chom Phon,Thailand,6,0,0,0,0,25
"Mérida, Yucatán","Mérida, Yucatán",Mexico,6,0,0,0,0,26
"Travelers Rest, SC","Travelers Rest, SC",USA,6,0,0,0,0,27
"Valenzuela City, National Capital Region","Valenzuela City, National Capital Region",Philippines,6,0,0,0,0,28
"Bacoor, Calabarzon","Bacoor, Calabarzon",Philippines,6,0,0,0,0,29
"Panvel, India",Panvel,India,6,0,0,0,0,30
"Central, Paraguay",Central,Paraguay,6,0,0,0,0,31
"Mumbai, India",Mumbai,India,6,0,0,0,0,32
"Kemayoran, Indonesia",Kemayoran,Indonesia,6,0,0,0,0,33
"Semarang Utara 1, Indonesia",Semarang Utara 1,Indonesia,6,0,0,0,0,34
"San Bernardo, Chile",San Bernardo,Chile,6,0,0,0,0,35
India,,India,6,0,0,0,0,36
"City of Valencia, Northern Mindanao","City of Valencia, Northern Mindanao",Philippines,6,0,0,0,0,37
"Pennsylvania, USA",Pennsylvania,USA,6,0,0,0,0,38
"Sawangan, Indonesia",Sawangan,Indonesia,6,0,0,0,0,39
"Florianópolis, Brazil",Florianópolis,Brazil,6,0,0,0,0,40
"Manila City, National Capital Region","Manila City, National Capital Region",Philippines,6,0,0,0,0,41
Spain,,Spain,6,0,0,0,0,42
"Potsdam, Germany",Potsdam,Germany,6,0,0,0,0,43
"Madrid, Spain",Madrid,Spain,6,0,0,0,0,44
"Salvador, Brazil",Salvador,Brazil,6,0,0,0,0,45
"Caloocan City, National Capital Region","Caloocan City, National Capital Region",Philippines,6,0,0,0,0,46
"Quezon City, National Capital Region","Quezon City, National Capital Region",Philippines,6,0,0,0,0,47
"Bologna, Emilia Romagna","Bologna, Emilia Romagna",Italy,6,0,0,0,0,48
"Doha, Qatar",Doha,Qatar,6,0,0,0,0,49
"Norwich, England",Norwich,UK,6,0,0,0,0,50
"Milan, Lombardy","Milan, Lombardy",Italy,6,0,0,0,0,51
"General Trias, Calabarzon","General Trias, Calabarzon",Philippines,6,0,0,0,0,52
"Arizona, USA",Arizona,USA,6,0,0,0,0,53
"Sale, England",Sale,UK,6,0,0,0,0,54
"Paderborn, Germany",Paderborn,Germany,6,0,0,0,0,55
"Carmen, Central Visayas","Carmen, Central Visayas",Philippines,6,0,0,0,0,56
"Vicenza, Veneto","Vicenza, Veneto",Italy,6,0,0,0,0,57
"Baha, Kingdom of Saudi Arabia",Baha,Kingdom of Saudi Arabia,6,0,0,0,0,58
Uzbekistan,,Uzbekistan,6,0,0,0,0,59
"Suan Yai, Thailand",Suan Yai,Thailand,6,0,0,0,0,60
"Guayaquil, Ecuador",Guayaquil,Ecuador,6,0,0,0,0,61
"Hua Mak, Thailand",Hua Mak,Thailand,6,0,0,0,0,62
"Jesolo, Veneto","Jesolo, Veneto",Italy,6,0,0,0,0,63
"Pyeongtaek-si, Republic of Korea",Pyeongtaek-si,Republic of Korea,6,0,0,0,0,64
"Ghaziabad, India",Ghaziabad,India,6,0,0,0,0,65
"Province of Novosibirsk, Russia",Province of Novosibirsk,Russia,6,0,0,0,0,66
"New Delhi, India",New Delhi,India,4,0,0,1,0,67
Ukraine,,Ukraine,2,0,0,0,0,68
Shell,,Hungary,2,0,0,0,0,69
