full_name,city,country,counts,avg_Retweet,avg_Replies,avg_Like,avg_Quotes,index
"Saladoblanco, Colombia",Saladoblanco,Colombia,32,0,0,0.03125,0,1
"Bogotá, D.C., Colombia","Bogotá, D.C.",Colombia,6,0,0,0,0,2
"Barrie, Ontario","Barrie, Ontario",Canada,2,0,0,0,0,3
Cyprus,Cyprus,Canada,2,0,0,0,0,4
"Jersey City, NJ","Jersey City, NJ",USA,1,0,0,0,0,5
"Ate, Peru",Ate,Peru,1,0,0,0,0,6
"Córdoba, Argentina",Córdoba,Argentina,1,0,0,0,0,7
"Brasília, Brazil",Brasília,Brazil,1,0,0,0,0,8
"Vaqueros, Argentina",Vaqueros,Argentina,1,0,0,0,0,9
"Walden, NY","Walden, NY",USA,1,0,0,0,0,10
"Ciudad Real, Spain",Ciudad Real,Spain,1,0,0,0,0,11
Ukraine,,Ukraine,1,0,0,0,0,12
"South Apopka, FL","South Apopka, FL",USA,1,0,0,0,0,13
"H?ng Yên, Vietnam",H?ng Yên,Vietnam,1,0,0,0,0,14
"Belém, Brazil",Belém,Brazil,1,0,0,0,0,15
"Amphoe Hat Yai, Songkhla Province","Amphoe Hat Yai, Songkhla Province",Thailand,1,1,0,1,0,16
"San Martin de Porres, Peru",San Martin de Porres,Peru,1,0,0,0,0,17
"Marabá, Brasil",Marabá,Brasil,1,0,0,0,0,18
"La Victoria, Peru",La Victoria,Peru,1,0,0,0,0,19
"Bekasi Timur, Indonesia",Bekasi Timur,Indonesia,1,0,0,0,0,20
